epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0359,2.38138,3.59319,2.15346,0.0046,0.5723,0.07224,0.02404,2.02778,3.61452,1.8603,0.00036674,0.00036674,0.00036674
2,23.3484,2.17801,3.1904,1.91436,0.5758,0.05814,0.09457,0.03694,1.94962,3.35916,1.63397,0.000720444,0.000720444,0.000720444
3,34.5429,2.08238,2.74864,1.80192,0.38474,0.17728,0.12603,0.03899,2.19158,3.0852,1.80477,0.00104378,0.00104378,0.00104378
4,45.9486,2.08625,2.54769,1.78411,0.29777,0.30064,0.19315,0.07243,2.30957,2.79031,1.97027,0.00133675,0.00133675,0.00133675
5,56.5033,1.98932,2.41582,1.72884,0.35244,0.25401,0.17558,0.0777,2.24444,2.74096,1.85254,0.00140295,0.00140295,0.00140295
6,67.5554,1.92993,2.28118,1.68381,0.40259,0.20324,0.20978,0.09792,2.1485,3.33389,1.81838,0.00133693,0.00133693,0.00133693
7,79.4083,1.95009,2.27677,1.68368,0.26998,0.54162,0.34009,0.15037,2.01469,2.9238,1.73558,0.00127092,0.00127092,0.00127092
8,90.1597,1.84673,2.2188,1.61355,0.4513,0.43428,0.35436,0.17937,1.95834,2.37033,1.54991,0.00120491,0.00120491,0.00120491
9,100.462,1.83375,2.20433,1.61258,0.24117,0.48933,0.33463,0.14842,2.0186,3.06572,1.60335,0.00113889,0.00113889,0.00113889
10,111.269,1.75323,2.0917,1.56071,0.41839,0.5206,0.42501,0.19846,1.87894,2.18627,1.55019,0.00107288,0.00107288,0.00107288
11,121.809,1.76274,2.09094,1.57311,0.45492,0.53859,0.40269,0.19828,1.82726,1.92327,1.54646,0.00100687,0.00100687,0.00100687
12,133.526,1.76482,2.10316,1.57121,0.49918,0.48916,0.42291,0.2068,1.73363,1.94603,1.42471,0.000940855,0.000940855,0.000940855
13,144.64,1.79199,2.10436,1.6057,0.46961,0.49854,0.38988,0.1963,1.82181,1.99196,1.46732,0.000874842,0.000874842,0.000874842
14,155.473,1.71246,2.00016,1.56632,0.51726,0.51513,0.48486,0.2465,1.81054,1.9342,1.4971,0.000808828,0.000808828,0.000808828
15,166.234,1.75333,2.03676,1.56641,0.56588,0.49933,0.46729,0.26051,1.68296,1.84543,1.39722,0.000742815,0.000742815,0.000742815
16,176.5,1.50756,2.04036,1.40934,0.57627,0.52258,0.53795,0.29798,1.54412,1.76847,1.32546,0.000676802,0.000676802,0.000676802
17,186.918,1.49913,1.91136,1.39827,0.56232,0.55595,0.51473,0.30596,1.56441,1.77877,1.3446,0.000610789,0.000610789,0.000610789
18,199.914,1.43856,1.84341,1.38135,0.54288,0.57753,0.56669,0.31826,1.53301,1.82711,1.31576,0.000544776,0.000544776,0.000544776
19,213.237,1.48376,1.84696,1.37781,0.54119,0.59521,0.59414,0.31591,1.53524,1.76129,1.30737,0.000478762,0.000478762,0.000478762
20,224.769,1.45343,1.78157,1.36093,0.55752,0.53549,0.58144,0.33826,1.42838,1.72563,1.26033,0.000412749,0.000412749,0.000412749
21,235.533,1.47525,1.78673,1.3824,0.62256,0.54146,0.58324,0.35583,1.39424,1.76091,1.23707,0.000346736,0.000346736,0.000346736
22,249.351,1.41501,1.74449,1.34951,0.67377,0.51382,0.59031,0.36467,1.37322,1.77106,1.22598,0.000280723,0.000280723,0.000280723
23,265.665,1.35638,1.68026,1.30396,0.64994,0.51929,0.60393,0.38346,1.34877,1.69235,1.21404,0.00021471,0.00021471,0.00021471
24,282.731,1.35999,1.67379,1.3157,0.52169,0.62313,0.59983,0.37771,1.36873,1.63457,1.21708,0.000148696,0.000148696,0.000148696
25,299.293,1.39659,1.67559,1.32295,0.51484,0.60819,0.58733,0.36119,1.39205,1.6172,1.22642,8.26832e-05,8.26832e-05,8.26832e-05
